economy,economy_code,year,income_group,region,gdp_per_capita_ppp,road_density_km_per_100sqkm,rail_lines_total_km,air_transport_passengers,container_port_traffic_teu,energy_use_per_gdp,co2_emissions_per_capita,co2_transport_pct_total,trade_pct_gdp,urban_population_pct,lpi_overall_score,lpi_infrastructure_score,gross_capital_formation_pct_gdp
Economy_001,EC001,2010,High income,Sub-Saharan Africa,70567.0976374325,242.46239466825836,,9006.368104850028,979.8606798696765,62.44973703390805,18.901538985932586,27.658537495075798,110.26095031963287,85.14899936952528,,,18.687371022153332
Economy_001,EC001,2011,High income,Sub-Saharan Africa,73209.75007655917,266.4296524325512,109.71446806132485,12118.116761758525,902.5084263506739,73.7143392893981,16.556083043041347,22.10988519660541,54.36734696817233,,,,21.713487432686172
Economy_001,EC001,2012,High income,Sub-Saharan Africa,75951.36665262545,247.64862390238585,118.90011252491695,10259.285930072278,,47.77442005431453,18.695628132480252,23.36582084345861,88.17959656307798,87.7890919562208,4.23627544564439,4.1785771482792144,
Economy_001,EC001,2013,High income,Sub-Saharan Africa,78795.6534528395,242.3870395585281,100.74008996959088,10679.977320871423,1400.3612243998348,58.38878014908193,18.464382264499754,27.393089121228087,106.12216136416366,89.10913824956856,,,31.65337585845823
Economy_001,EC001,2014,High income,Sub-Saharan Africa,81746.455352892,273.47117559284396,182.76016533777536,4762.576519921688,912.7126694057112,55.85324969941127,18.35820813321288,36.75420211814656,71.83991847500752,90.42918454291632,4.406458172544838,4.231901144987466,27.20461555506862
Economy_001,EC001,2015,High income,Sub-Saharan Africa,84807.76121441701,278.16883246150053,89.4469666950851,12064.799071250147,1429.0932833856148,50.56229257639884,22.351574104111194,,63.464562311061826,91.74923083626408,,,34.55228522484039
Economy_001,EC001,2016,High income,Sub-Saharan Africa,87983.7092770913,280.73616198199693,117.22363122134503,10343.987439911323,1005.0485045682425,55.963453834131144,22.905096426021856,39.57785716550018,,93.06927712961183,4.407653858276145,4.368290477582402,23.951332930809485
Economy_001,EC001,2017,High income,Sub-Saharan Africa,91278.5927526614,271.2036410008394,119.01570428899687,13971.070872181264,1730.494024976895,53.41511485914085,21.92904530981931,,136.0192826719511,94.3893234229596,,,21.24548752955588
Economy_001,EC001,2018,High income,Sub-Saharan Africa,94696.86562846004,,134.85585793272728,6389.06467763348,2405.544791093562,,19.321960515783307,,131.84037539096093,95.70936971630736,4.409596625176541,4.158553133416685,18.088142667157776
Economy_001,EC001,2019,High income,Sub-Saharan Africa,98243.14868825751,256.8195487107964,143.56364241065552,18805.29876166481,1272.5523818660583,41.008244624920344,17.50377349330371,36.55738007575177,48.6049940073293,97.02941600965512,,,
Economy_001,EC001,2020,High income,Sub-Saharan Africa,101922.2357585863,260.96252703661867,,7755.98148354764,,45.706063198083456,17.76841152244779,,60.10326328159934,98.0,4.118752723528331,3.8750766975771063,21.108721950824226
Economy_001,EC001,2021,High income,Sub-Saharan Africa,105739.10018898336,276.92684986801606,,,1279.7679261601952,36.67030442054737,21.280448648385672,29.29347625879223,41.01588789761303,98.0,,,18.817001711349572
Economy_001,EC001,2022,High income,Sub-Saharan Africa,,300.9653840540741,253.93930627923737,7447.409274627481,2785.040389187907,49.428565971087814,24.069484523931163,36.40853687542536,98.804045000632,98.0,,,21.64801503504236
Economy_002,EC002,2010,High income,Middle East & North Africa,69644.51793459697,161.2650649790359,,8873.347657908707,620.0747483246097,50.00065796864419,9.354253814142156,31.237333842875472,98.222434049995,,,,29.55736125830418
Economy_002,EC002,2011,High income,Middle East & North Africa,72362.5635461485,154.9470768450436,100.0290810049537,8357.359909433844,643.7145930244991,,9.443282983608459,32.04881851802238,111.2123885309164,94.37377005629038,,,31.282032858010442
Economy_002,EC002,2012,High income,Middle East & North Africa,75186.68745597205,161.9181341412501,98.98653319881971,12598.725379064015,1142.8983532281363,53.63142151504327,7.34605823362666,31.626108344535645,134.02424463730097,95.33133631618809,3.969797383852187,4.18768049704559,32.96611946685309
Economy_002,EC002,2013,High income,Middle East & North Africa,78121.02962600067,148.53562190645795,67.67268073116018,12121.711366982183,1982.752985286775,65.582358301068,8.483214191541112,,98.57676302460128,96.28890257608579,,,19.40915246878702
Economy_002,EC002,2014,High income,Middle East & North Africa,81169.89159018634,151.3338691250309,101.51594062633558,5914.771277299869,,47.63737724369102,10.281642074120628,38.30508683338213,39.05214565077231,97.24646883598349,3.8926910351644044,4.167912479609112,18.983686261881026
Economy_002,EC002,2015,High income,Middle East & North Africa,84337.74276023834,160.39610455267882,64.82149402292286,11605.627101323833,,40.79466450805499,9.079700317790868,21.524007591983263,79.34480650466236,98.0,,,33.62600138120451
Economy_002,EC002,2016,High income,Middle East & North Africa,87629.22697745844,171.41895140990567,81.91215443883857,11624.452998733514,,36.4961297407869,9.464260620507536,30.68692550058926,129.4997064847817,98.0,3.965289677920183,4.1152361276021665,33.52381778837993
Economy_002,EC002,2017,High income,Middle East & North Africa,91049.16932027732,138.45165055114265,,15388.102022996349,494.96007904958486,61.638533677755376,9.148463578704206,31.799117942752723,66.93326877252593,98.0,,,28.86914306856212
Economy_002,EC002,2018,High income,Middle East & North Africa,94602.58317747132,163.62390941323258,99.49981834135738,8779.123444003726,2996.2229131337517,60.36145166264227,10.698256179998193,35.37835482630795,139.25655340839276,98.0,4.056338636974401,3.7960802236855202,18.77964152887876
Economy_002,EC002,2019,High income,Middle East & North Africa,98294.67759742896,175.51351583913322,99.77124571197349,12261.248601492996,2711.55341263461,40.14224936172732,8.801406431501178,36.435812736888984,134.91811258253006,98.0,,,27.328160256525948
Economy_002,EC002,2020,High income,Middle East & North Africa,102130.86492424003,,69.11946149799046,5043.372097753555,617.2104517729845,51.11289863217378,9.853402419325718,38.48083518214867,75.2743158290487,,4.165291428217764,4.006961348088207,30.919241951938957
Economy_002,EC002,2021,High income,Middle East & North Africa,106116.76873180151,163.69477962597605,64.8623747329303,8043.197965696325,3291.4041087835167,33.983175055816154,8.322145873130234,30.706711280310472,118.4886247312583,98.0,,,24.03677315574818
Economy_002,EC002,2022,High income,Middle East & North Africa,,164.96344991966518,,,1858.1444420399548,,9.502230160126892,29.75619601617476,59.32237865575854,98.0,,,19.494089617182446
Economy_003,EC003,2010,High income,North America,35265.00031988027,312.803710462061,,4544.533052041672,,69.44988734793952,16.531745191748247,30.596800463622333,146.1592879805081,82.26871948146962,,,26.6037672581089
Economy_003,EC003,2011,High income,North America,36377.74219965522,308.82593255014723,68.83348179595484,,226.66144512918316,70.33614643868533,15.977518191802513,38.658761341999096,30.32530792971956,83.2107635599235,,,21.485030770905034
Economy_003,EC003,2012,High income,North America,37525.59522305058,310.21930110979605,197.39785420569987,,429.5291414712176,65.80924626644452,14.960757577305495,37.99334890584346,67.94358987557936,84.1528076383774,4.467050128198804,4.430296933431808,27.817266605404136
Economy_003,EC003,2013,High income,North America,38709.66727719518,336.84691667060065,,4094.879929589956,1035.7205812819118,75.1132423587365,18.88043272332667,35.57143878101502,135.43549384481258,85.0948517168313,,,21.477258083880876
Economy_003,EC003,2014,High income,North America,39931.101207176085,266.89152095476925,205.06641148114372,4801.7419288492965,291.33937117737224,58.844280623805616,17.01565059742371,36.535976556181566,31.464368678165343,86.03689579528519,4.38406559506416,4.220476184882153,25.201146661148208
Economy_003,EC003,2015,High income,North America,41191.07591909202,314.2876811105827,223.33265443314343,5291.912845953846,202.24683043841992,38.48117541721987,17.371955839768223,23.310410207345797,32.7627125745165,86.97893987373908,,,32.23734341304237
Economy_003,EC003,2016,High income,North America,42490.80751791251,328.60324831633085,266.3978527684771,4562.4072155045305,733.1273472851673,36.35620279256903,17.781873459734527,38.25498925758258,85.88401467825759,87.92098395219297,4.511614688933029,4.3109226793898126,18.575945724192113
Economy_003,EC003,2017,High income,North America,43831.550481240454,291.02701694685936,,3697.8931959789784,355.01749110771783,49.08153834358418,17.45677569179562,29.364636568827585,52.13554457026273,88.86302803064686,,,24.421341106482878
Economy_003,EC003,2018,High income,North America,45214.59887011146,309.04706912510125,259.2111243869483,7496.2748444438175,714.6477690606109,66.4920962366963,18.367879025202292,36.795777189131414,62.67622256643593,89.80507210910076,4.442338918964493,4.4733724761200975,22.31610558873617
Economy_003,EC003,2019,High income,North America,46641.28757799827,337.46198622475083,235.82792939520795,8227.991054301725,555.1931400188504,46.129667711371525,17.915249392238433,32.66481549821921,126.82201787551033,90.74711618755465,,,
Economy_003,EC003,2020,High income,North America,48112.99361922601,316.26346099343704,293.4695637840096,7903.544828295303,,63.18551248636384,21.3172619229945,35.595175495760614,73.53094735991345,91.68916026600854,4.545823745467787,4.837044132812827,26.008112695794843
Economy_003,EC003,2021,High income,North America,49631.13745804164,310.95845485805626,343.41625210674624,7009.992048698434,1048.926141320561,56.62969816615666,18.149923504562366,28.104961760553774,112.94662291315852,92.63120434446243,,,30.24344388774903
Economy_003,EC003,2022,High income,North America,51197.18437962061,353.0107888506137,,9284.067348471126,,33.14624360155928,18.94876284857658,35.41971851070957,72.46456518734993,93.57324842291632,,,28.37687933913528
Economy_004,EC004,2010,High income,Sub-Saharan Africa,82761.81563617394,113.31739878515464,53.27570248738366,8425.422436609957,,43.110613763158284,15.040385663884756,39.24197571528235,101.79432699217855,85.58331377262476,,,29.73952395157589
Economy_004,EC004,2011,High income,Sub-Saharan Africa,84462.25685267072,122.96990028615357,21.726861906897266,4131.197670691958,2795.6923050117553,,15.325633863734833,29.46420236162667,110.3900957460047,86.37866603335287,,,21.274183472355716
Economy_004,EC004,2012,High income,Sub-Saharan Africa,86197.63568270985,114.20638197268688,55.04874322251033,13732.171504157472,1254.123319470626,53.93224126778306,15.986016361880074,,87.72742606129037,87.17401829408097,3.9320559918886038,4.029049096936928,30.543548037410925
Economy_004,EC004,2013,High income,Sub-Saharan Africa,87968.6699616556,117.30614036735136,60.97560196816058,,,50.247529439948664,13.521352300172445,30.450383832690463,62.60243652828049,87.96937055480907,,,30.164406358982113
Economy_004,EC004,2014,High income,Sub-Saharan Africa,89776.09227366466,,,14553.681071796043,3676.0575584256753,,14.389871672263359,28.03160472850975,147.8796618096098,88.76472281553717,3.932531565012369,4.135227006182316,21.919676328685323
